Trial,Cue,Stimulus,Temperature,Prediction,Quality,Rating,PredictionRT,QualityRT,RatingRT,StimulusDetection,Participant,Session
57,1,0,45.0548137543141,0,0,22.3958333333333,0.562082499964163,0.732372500002384,1.29768300009891,1,1,1
58,0,0,45.0548137543141,1,0,19.2708333333333,0.659829400014132,0.319103999994695,1.5305041000247,1,1,1
59,0,0,45.0548137543141,1,0,16.40625,1.2991878001485,0.399875600123778,1.36404399992898,1,1,1
60,1,0,45.0548137543141,0,0,30.2083333333333,0.98014139989391,0.326708700042218,0.980879599926993,1,1,1
61,0,0,45.0548137543141,1,0,28.6458333333333,0.602187300100923,0.488643799908459,1.597790800035,1,1,1
62,0,0,45.0548137543141,1,0,20.8333333333333,0.797457200009376,0.518717600032687,1.48082470009103,1,1,1
63,0,0,45.0548137543141,0,0,19.53125,1.15538399992511,1.15524559980258,1.64770429977216,1,1,1
64,1,1,47.9437214019359,1,1,66.40625,1.59725560015067,0.908085299888626,1.64786679996178,1,1,1
65,0,1,47.9437214019359,0,1,47.3958333333333,0.977812200086191,0.836776900105178,1.68088810006157,1,1,1
66,0,0,45.0548137543141,0,0,22.3958333333333,1.38691230001859,0.998317399993539,1.24807460000739,1,1,1
67,1,1,47.9437214019359,1,1,55.2083333333333,0.894880400039256,0.386555300094187,1.33129730005749,1,1,1
68,1,1,47.9437214019359,1,1,66.6666666666667,1.18648550007492,0.350164700066671,1.44795659999363,1,1,1
69,1,1,47.9437214019359,1,1,67.4479166666667,1.55083639989607,0.669698999961838,1.31427619978786,1,1,1
70,0,0,45.0548137543141,0,0,27.0833333333333,1.78733109985478,0.60250569996424,1.56396869989112,1,1,1
71,1,0,45.0548137543141,1,0,34.8958333333333,0.807182400021702,0.367434700019658,1.28112050006166,1,1,1
72,1,1,47.9437214019359,1,1,65.1041666666667,1.4941726999823,0.273044400149956,1.03079190012068,1,1,1
73,1,1,47.9437214019359,1,1,72.65625,0.950212700059637,0.401289100060239,1.59742759983055,1,1,1
74,1,0,45.0548137543141,1,0,33.59375,0.657550799893215,0.334277799818665,1.34790619998239,1,1,1
75,0,0,45.0548137543141,0,0,11.71875,1.1027038001921,0.324585400056094,0.897611600114033,1,1,1
76,1,0,45.0548137543141,1,0,46.3541666666667,1.22970109991729,0.351718599908054,1.71450080000795,1,1,1
77,0,0,45.0548137543141,0,0,13.0208333333333,0.989067600108683,0.443687200080603,0.914088600082323,1,1,1
78,1,1,47.9437214019359,1,1,76.5625,1.43046499998309,0.620695599820465,1.31380930007435,1,1,1
79,1,1,47.9437214019359,1,1,89.84375,0.824688199907541,0.437655400019139,1.34759550006129,1,1,1
80,0,0,45.0548137543141,1,0,25,1.91054630000144,0.516392400022596,1.91355200018734,1,1,1
81,1,0,45.0548137543141,1,0,26.8229166666667,1.89215569989756,0.519956600153819,1.13095469982363,1,1,1
82,1,1,47.9437214019359,1,1,74.4791666666667,1.39665939984843,0.621135400142521,1.44475249992684,1,1,1
83,0,0,45.0548137543141,0,0,22.9166666666667,0.948110800003633,0.480662300018594,1.06482379999943,1,1,1
84,1,1,47.9437214019359,1,1,78.6458333333333,2.11752519989386,0.268815899966285,1.0977047001943,1,1,1
85,0,0,45.0548137543141,0,0,16.1458333333333,0.835208999924362,0.792355299927294,0.997912700055167,1,1,1
86,0,0,45.0548137543141,0,0,17.4479166666667,0.722735699964687,0.418379300041124,0.647877400042489,1,1,1
87,0,0,45.0548137543141,0,0,11.9791666666667,0.609271500026807,0.401943899923936,0.615587299922481,1,1,1
88,1,1,47.9437214019359,1,1,60.4166666666667,1.06727670016699,0.339878200087696,1.01425779983401,1,1,1
89,1,1,47.9437214019359,1,1,77.0833333333333,1.21962140011601,0.367867500055581,1.11417319998145,1,1,1
90,1,1,47.9437214019359,1,1,74.7395833333333,0.772287600208074,0.654552199877799,1.72826800006442,1,1,1
91,0,1,47.9437214019359,0,1,65.3645833333333,0.737225800054148,0.333788400050253,1.53105499991216,1,1,1
92,0,0,45.0548137543141,0,0,29.9479166666667,0.879517999943346,0.402030300116166,1.14800869999453,1,1,1
93,0,1,47.9437214019359,0,1,57.2916666666667,0.566646200139076,0.276640800060704,1.04788980004378,1,1,1
94,0,0,45.0548137543141,0,0,21.6145833333333,0.504072800045833,0.305319499922916,1.43072160007432,1,1,1
95,0,0,45.0548137543141,0,0,14.0625,0.485742599936202,0.257491600001231,0.881144599989057,1,1,1
96,1,1,47.9437214019359,1,1,67.7083333333333,0.686612999998033,0.286391800036654,0.864766600076109,1,1,1
97,0,0,45.0548137543141,0,0,15.625,0.964003300061449,0.28668210003525,1.01464820001274,1,1,1
98,1,1,47.9437214019359,1,1,81.25,0.819843200035393,0.292493600165471,1.18097190000117,1,1,1
99,1,1,47.9437214019359,1,1,73.6979166666667,0.746261399937794,0.676193800056353,1.14738840004429,1,1,1
100,0,1,47.9437214019359,0,1,75.5208333333333,1.4316774001345,0.325728299794719,1.24796970002353,1,1,1
101,1,0,45.0548137543141,1,0,42.96875,0.838204500032589,0.342609099810943,1.74683509999886,1,1,1
102,0,1,47.9437214019359,1,1,79.4270833333333,0.832068100105971,1.40430589998141,1.29840309987776,1,1,1
103,1,0,45.0548137543141,0,0,22.65625,0.555449600098655,0.867628199979663,1.41425579995848,1,1,1
104,1,0,45.0548137543141,0,0,23.1770833333333,0.786719500087202,0.309335799887776,0.947999800089747,1,1,1
105,0,1,47.9437214019359,1,1,65.1041666666667,0.747615200001746,0.420940499985591,1.41464399988763,1,1,1
106,0,0,45.0548137543141,1,0,29.6875,1.13075550016947,1.09707030002028,1.34789899992757,1,1,1
107,0,1,47.9437214019359,1,1,76.3020833333333,0.738548499997705,0.65757289994508,0.980652900179848,1,1,1
108,0,1,47.9437214019359,1,1,72.1354166666667,1.06585489981808,0.319648199947551,1.61463319999166,1,1,1
109,1,1,47.9437214019359,0,1,77.34375,0.579074000008404,0.317382300039753,1.33131260005757,1,1,1
110,1,0,45.0548137543141,0,1,25.78125,0.833707500016317,0.619206900009885,0.880698399851099,1,1,1
111,1,1,47.9437214019359,0,1,37.5,0.618344799848273,0.479138700058684,2.09648120007478,1,1,1
112,1,1,47.9437214019359,0,1,63.28125,0.527893099933863,0.318851499818265,1.16456179996021,1,1,1
113,0,0,45.0548137543141,0,0,30.9895833333333,1.45743780001067,0.495991399977356,1.08100300002843,1,1,1
114,0,0,45.0548137543141,0,0,21.3541666666667,0.543906499864534,0.791379200061783,0.847550599835813,1,1,1
115,0,1,47.9437214019359,0,1,39.5833333333333,0.662950600031763,0.51264899992384,0.798012100160122,1,1,1
116,1,0,45.0548137543141,1,0,34.6354166666667,0.918767499970272,0.278879199875519,1.08137169992551,1,1,1
117,1,1,47.9437214019359,0,1,61.9791666666667,0.953184199985117,0.539413099875674,1.23125930014066,1,1,1
118,0,0,45.0548137543141,1,0,27.0833333333333,1.23138040001504,0.33914089994505,0.964590599993244,1,1,1
119,1,1,47.9437214019359,0,1,60.15625,2.46184520004317,0.287469799863175,1.08115580002777,1,1,1
120,0,0,45.0548137543141,1,0,51.3020833333333,1.06129610002972,0.342660899972543,2.06431420007721,1,1,1
121,1,1,47.9437214019359,0,1,74.7395833333333,2.17571240011603,0.645323900040239,1.06406049989164,1,1,1
122,1,0,45.0548137543141,1,0,40.625,0.764015699969605,0.347389800008386,1.11453849985264,1,1,1
123,0,1,47.9437214019359,1,1,59.8958333333333,2.05265989992768,0.372905400115997,0.997840199852362,1,1,1
124,1,0,45.0548137543141,0,0,39.84375,1.2864130998496,0.305828999960795,1.13090360001661,1,1,1
125,0,1,47.9437214019359,1,1,73.9583333333333,1.23036859999411,0.269592199940234,1.58056890009902,1,1,1
126,1,0,45.0548137543141,0,0,21.6145833333333,0.658704299945384,0.397254799958318,1.1307783999946,1,1,1
127,1,0,45.0548137543141,0,0,23.9583333333333,0.688863500021398,0.418178900144994,0.931207299930975,1,1,1
128,0,1,47.9437214019359,1,1,65.625,0.650087699992582,0.333071799948812,1.01427430007607,1,1,1
129,0,0,45.0548137543141,1,0,21.875,0.944503200007603,1.34034390002489,1.44794320012443,1,1,1
130,0,1,47.9437214019359,1,1,73.4375,0.62240819982253,0.246975899906829,1.04786829999648,1,1,1
131,0,0,45.0548137543141,1,0,21.09375,0.494999000104144,0.284925299929455,0.963921800022945,1,1,1
132,0,1,47.9437214019359,0,1,71.6145833333333,0.52666540001519,0.370105199981481,0.997916199965402,1,1,1
133,1,0,45.0548137543141,0,0,14.3229166666667,0.902352500008419,0.236499200109392,1.14766889996827,1,1,1
134,1,1,47.9437214019359,0,1,50,0.661891999887303,0.315167299937457,1.76426620013081,1,1,1
135,1,1,47.9437214019359,0,1,42.7083333333333,0.73810839978978,0.356849799863994,1.11370750004426,1,1,1
136,0,0,45.0548137543141,1,0,6.51041666666667,1.01664500008337,0.313306799856946,0.73078089999035,1,1,1
137,0,0,45.0548137543141,0,0,19.2708333333333,1.45583699992858,0.32228560000658,1.16461710003205,1,1,1
138,1,1,47.9437214019359,1,1,78.90625,1.32944889995269,0.292361699976027,0.780441000126302,1,1,1
139,1,1,47.9437214019359,1,1,66.9270833333333,0.624039299786091,0.297841099789366,1.0645975000225,1,1,1
140,0,0,45.0548137543141,0,0,31.5104166666667,1.88598200003617,0.340038500027731,1.23089429992251,1,1,1
141,1,0,45.0548137543141,1,0,24.7395833333333,0.877411499852315,0.273078400176018,0.897545999847353,1,1,1
142,1,0,45.0548137543141,1,0,24.7395833333333,2.65250459988602,0.325963099952787,0.980529699940234,1,1,1
143,1,0,45.0548137543141,0,0,21.3541666666667,0.722873900085688,0.23439299990423,0.847689100075513,1,1,1
144,0,1,47.9437214019359,1,1,77.6041666666667,0.826596499886364,0.389439099933952,0.89737410005182,1,1,1
145,1,1,47.9437214019359,0,1,35.4166666666667,0.717468000017107,0.362027999944985,0.94788399990648,1,1,1
146,0,0,45.0548137543141,1,0,15.625,2.35652100015432,0.266740499995649,1.8644512000028,1,1,1
147,0,1,47.9437214019359,0,1,67.1875,1.35069730016403,0.234082899987698,0.697187000187114,1,1,1
148,0,1,47.9437214019359,1,1,76.8229166666667,0.743224300211295,0.400457300012931,1.04777120007202,1,1,1
149,1,0,45.0548137543141,0,0,28.90625,1.21797530003823,1.70800450001843,1.66473959991708,1,1,1
150,0,1,47.9437214019359,1,1,57.5520833333333,1.22470219992101,2.19179780012928,1.38056449987926,1,1,1
151,0,0,45.0548137543141,1,0,32.5520833333333,0.745547899976373,0.674049400025979,1.6469950999599,1,1,1
152,1,1,47.9437214019359,0,1,65.625,0.596978100016713,0.206318699987605,1.39779930002987,1,1,1
153,0,0,45.0548137543141,1,0,49.7395833333333,1.68490469991229,0.318071399815381,1.16432139999233,1,1,1
154,1,1,47.9437214019359,0,1,68.75,1.42055379995145,0.800764600047842,1.31421289988793,1,1,1
155,1,1,47.9437214019359,1,1,68.2291666666667,1.19569349987432,0.38843600009568,1.13086679996923,1,1,1
156,0,0,45.0548137543141,0,0,24.4791666666667,0.99670090014115,0.442122700158507,1.23187689995393,1,1,1
157,1,0,45.0548137543141,1,0,7.55208333333333,0.958540600026026,0.364643899956718,1.83128029992804,1,1,1
158,0,0,45.0548137543141,0,0,7.8125,1.59899810003117,0.411572999786586,1.03089020005427,1,1,1
159,1,1,47.9437214019359,1,1,75.78125,1.21191529999487,0.42787649994716,0.798068900126964,1,1,1
160,0,1,47.9437214019359,1,1,81.7708333333333,0.459219500189647,0.567634100094438,1.11460610013455,1,1,1
-0,1,1,48,1,1,74.7395833333333,2.62975009996444,0.68840589991305,1.69721759995446,1,1,2
-0,0,0,46.7384363295056,NaN,0,27.6041666666667,NaN,0.909255599952303,1.88072929996997,1,1,2
-0,1,1,48,1,1,53.3854166666667,1.33702909993008,0.382343800039962,0.763952599954791,1,1,2
-0,0,0,46.7384363295056,0,0,28.3854166666667,0.850311200018041,0.609623200027272,1.03061949997209,1,1,2
-0,1,1,48,1,1,62.5,0.626348399906419,0.399670499959029,0.9304333999753,1,1,2
-0,0,0,46.7384363295056,0,0,30.46875,1.22819369996432,0.304357800050639,0.646976999938488,1,1,2
-0,1,0,46.7384363295056,1,0,52.8645833333333,0.514371199999005,1.05038110003807,1.3653296000557,1,1,2
-0,1,0,46.7384363295056,1,0,38.0208333333333,0.578879300039262,0.629760099924169,1.21414310007822,1,1,2
-0,0,1,48,1,1,50.78125,1.18144830001984,0.384699500049464,1.26459539995994,1,1,2
0,0,1,48,1,1,54.6875,0.897358099929988,0.399510999908671,1.29709190002177,1,1,2
1,0,1,48,1,1,61.71875,0.860244399984367,0.636165499920025,1.09723350009881,1,1,2
2,1,0,46.7384363295056,0,0,35.9375,0.755847499938682,0.23645900003612,1.54700520006008,1,1,2
3,1,0,46.7384363295056,1,0,31.5104166666667,0.603831900050864,0.483733400003985,0.798805200029165,1,1,2
4,1,1,48,0,1,69.0104166666667,1.74476120003965,0.311769599909894,1.49745660007466,1,1,2
5,1,0,46.7384363295056,1,0,44.2708333333333,0.784640400088392,0.817421999992803,1.11400579998735,1,1,2
6,1,0,46.7384363295056,1,0,45.3125,0.700679700006731,0.298088299925439,0.947589799994603,1,1,2
7,0,1,48,1,1,62.5,1.46558600000571,0.782047300017439,1.04755839996506,1,1,2
8,0,1,48,1,1,61.71875,0.853647500043735,0.935338899958879,1.08136129996274,1,1,2
9,0,0,46.7384363295056,1,0,40.625,0.947031500050798,0.223030699999072,1.31334010011051,1,1,2
10,0,1,48,0,1,69.0104166666667,1.70786179997958,1.37228420004249,1.16429270000663,1,1,2
11,0,0,46.7384363295056,0,0,52.0833333333333,0.934256999986246,0.33534949994646,1.38121909997426,1,1,2
12,1,1,48,1,1,75,0.815392900025472,0.359291499946266,1.46399449999444,1,1,2
13,0,0,46.7384363295056,0,0,36.9791666666667,1.70347670000046,0.319765200023539,1.29807450005319,1,1,2
14,0,1,48,0,0,53.125,0.580446799984202,0.375461300020106,2.19747509993613,1,1,2
15,1,1,48,1,1,67.7083333333333,0.704032999929041,0.70185670000501,1.46406979998574,1,1,2
16,0,0,46.7384363295056,0,0,50.5208333333333,0.985515499953181,0.287502799998038,1.31423860008363,1,1,2
17,1,0,46.7384363295056,1,0,52.34375,0.762981200008653,0.467455699923448,1.29779489990324,1,1,2
18,1,1,48,0,1,61.1979166666667,0.932728199986741,0.941286799963564,1.36410210002214,1,1,2
19,0,0,46.7384363295056,0,0,52.34375,1.89088540000375,0.366318499902263,1.0809956000885,1,1,2
20,1,1,48,1,1,75.2604166666667,1.04212770005688,0.545378100010566,1.13090420002118,1,1,2
21,1,0,46.7384363295056,1,0,50.78125,0.415794299915433,0.327772399992682,1.14886249997653,1,1,2
22,0,1,48,1,1,69.0104166666667,1.5012243000092,0.369981199968606,0.947362199891359,1,1,2
23,1,0,46.7384363295056,0,0,47.65625,1.15100920002442,0.284541000030003,1.43126180011313,1,1,2
